Rank;IloϾ Iteracji;Lambda;Czas [ms];RMSE
12;10;0.01;2419;0.9128817264725225
12;10;0.1;2286;0.8631753512576732
12;10;1.0;2486;1.3526134114329469
12;20;0.01;4357;0.9169172856492233
12;20;0.1;4256;0.8562314347029493
12;20;1.0;4384;1.3526124174797614
12;30;0.01;6950;0.9142026220753063
12;30;0.1;6499;0.8541655400423864
12;30;1.0;6723;1.3526124179607129
12;40;0.01;9038;0.9169900093241952
12;40;0.1;8995;0.8538504116580402
12;40;1.0;9156;1.3526124172160132
12;50;0.01;12002;0.9132489695349683
12;50;0.1;11905;0.8537571275057174
12;50;1.0;12086;1.3526124182613677
20;10;0.01;3204;0.9464170161510372
20;10;0.1;3266;0.8614679525766925
20;10;1.0;3214;1.3526125257179837
20;20;0.01;6057;0.9573556111881121
20;20;0.1;6146;0.8526341730267786
20;20;1.0;6002;1.3526124180533898
20;30;0.01;9106;0.9591743267128101
20;30;0.1;9140;0.8510350171502864
20;30;1.0;9216;1.3526124178732921
20;40;0.01;12445;0.9629552611208039
20;40;0.1;12657;0.8502058575771406
20;40;1.0;12810;1.3526124173874041
20;50;0.01;16311;0.9608939003640722
20;50;0.1;16532;0.8505313733722816
20;50;1.0;17028;1.3526124180549188
50;10;0.01;10685;1.0050140288187333
50;10;0.1;10723;0.8573289148233495
50;10;1.0;10783;1.35261312571477
50;20;0.01;20553;1.0161074704483397
50;20;0.1;20625;0.8486321897571837
50;20;1.0;20704;1.3526124175888121
50;30;0.01;30972;1.0175937816136043
50;30;0.1;30808;0.8471150878511018
50;30;1.0;30838;1.3526124170726328
50;40;0.01;41045;1.0209222990034774
50;40;0.1;41665;0.8465454267385887
50;40;1.0;41274;1.352612417414533
50;50;0.01;52247;1.0220026685759018
50;50;0.1;52141;0.8463812831445238
50;50;1.0;51778;1.3526124171421983
100;10;0.01;34145;0.9720161451284035
100;10;0.1;34291;0.8559646858051915
100;10;1.0;34287;1.3526132946889284
100;20;0.01;66542;0.97361554028828
100;20;0.1;66464;0.8474928878577919
100;20;1.0;66492;1.3526124174505414
100;30;0.01;98882;0.9731640448496045
100;30;0.1;98858;0.8457488122867732
100;30;1.0;99210;1.3526124173459368
100;40;0.01;132282;0.9732412653590772
100;40;0.1;131831;0.8452314663654528
100;40;1.0;132118;1.3526124174425775
100;50;0.01;165427;0.9721647708902204
100;50;0.1;165427;0.8450107263036256
100;50;1.0;165883;1.3526124174814382
200;10;0.01;137211;0.8844822446971814
200;10;0.1;137636;0.8560227564674149
200;10;1.0;137465;1.3526132980696413
200;20;0.01;268039;0.868272235333365
200;20;0.1;268389;0.8472958168674136
200;20;1.0;268177;1.3526124174733585
200;30;0.01;399881;0.864989315748447
200;30;0.1;399102;0.8455660250398023
200;30;1.0;399707;1.3526124172881722
200;40;0.01;531305;0.8632438844613348
200;40;0.1;531376;0.8450954416116901
200;40;1.0;530501;1.3526124174637184
200;50;0.01;663250;0.8616706205720355
200;50;0.1;662254;0.8449478489242728
200;50;1.0;663097;1.3526124174619478
